Ref_Motion_Blur_Magnitude,Ref_Motion_Blur_Direction,Current_Motion_Blur_Magnitude,Current_Motion_Blur_Direction,SSIM_u,SSIM_v,SSIM_exx,SSIM_exy,SSIM_eyy,PSNR_u,PSNR_v,PSNR_exx,PSNR_exy,PSNR_eyy
55,5,55,5,0.8344303574623761,0.9901321315988797,0.9790476830699424,0.9903907920455498,0.9948283695106257,28.145127586898752,17.875557884860584,31.784661721068996,32.782307865279286,32.296256174004114
55,15,55,15,0.8504283271661033,0.9870886719765023,0.9823618218311402,0.991631901924093,0.9942245488008046,27.813744869700837,18.492774619304434,32.76164923907453,33.63802092838298,33.232558237964156
55,30,55,30,0.8301832287160786,0.9693667160335688,0.9787835090379371,0.9915762001831362,0.9907920896080339,28.974702656306818,21.93814463786254,33.81088454846255,36.06225212299792,35.15609935361202
55,45,55,45,0.8665290371902703,0.9533077155871789,0.9867319517114941,0.9936597375154348,0.9881667614909614,30.624486801036493,25.656827088322544,39.21470680535723,40.51647685057731,39.236217332452924
55,60,55,60,0.9180016809423414,0.9401092710483104,0.9928482198041058,0.9937993904466996,0.98629299729938,33.66554345097262,25.266347417848895,40.437589910697056,40.38393731772166,39.22412977359796
55,75,55,75,0.967557651311989,0.9496406687956572,0.997054869798039,0.9942909633850723,0.9874945792719608,37.32938786418876,23.25205854609695,38.73902496702631,37.90457319465346,36.766126987521275
55,85,55,85,0.9812458252170043,0.9486633515333951,0.998216579724516,0.9942062962432636,0.9854299710278921,38.84573741450693,24.496826705513467,40.46953201862439,39.46809518814387,37.60339618864368
55,90,55,90,0.9910958369600443,0.9489742709454977,0.9987072695536752,0.9950385941990015,0.9869317099106774,40.10464237874381,24.756005018766807,40.611410368943,39.932496979284366,37.983559904919225
60,0,60,0,0.8188398878163462,0.9918897604322382,0.9769673933542994,0.9901682236462057,0.9956562910681513,27.352100905871687,19.68758936623959,33.14526605410515,34.42772043176316,34.037529958211906
60,5,60,5,0.8105043411516205,0.988506275952298,0.9759269914440459,0.988801255891068,0.9941703564825841,27.26683383155602,17.53986736902664,31.32207341899845,32.37855511024786,31.929435907029973
60,15,60,15,0.8223005485829974,0.9849398120265687,0.9793706180048197,0.9904787145088871,0.993868684615836,27.006206228237943,18.82956873949572,32.96977965010513,34.032655249072256,33.71220325212045
60,30,60,30,0.8083262777735002,0.9628433044032688,0.9754021089886212,0.9902343095723523,0.9891951549655383,27.975780278190694,21.699887264934823,33.16161018955465,35.60249331533142,34.82622278895393
60,45,60,45,0.8370341409137669,0.9389741900185495,0.9832285596716412,0.9917703613659878,0.9842101080144856,29.024953782578816,24.94880233339775,38.46389117962636,40.07642239221979,38.67833634300142
60,60,60,60,0.907269989746654,0.9296629774751355,0.9911264492598755,0.9921989230118777,0.9841172299914916,32.69067388922183,25.62636324865146,40.87146272992044,40.8988903754538,39.791492000675134
60,75,60,75,0.9617197211268094,0.937178397185052,0.9963850292082138,0.9927330822856255,0.9840070783074004,36.64352527825944,22.671835866434087,37.87048949816998,37.25433659469141,36.364997805231724
60,85,60,85,0.9771136745875554,0.9364232193105482,0.9978055585754626,0.9928816891198786,0.9831650937679447,38.532349553252715,23.605646478698354,39.49795704440462,38.74046482792289,36.91458378586307
60,90,60,90,0.990498310766924,0.9427925138493537,0.99858803739922,0.9944331880878556,0.9858491136464845,39.54293411433956,23.938155362693806,39.673178012516416,39.01699541464787,37.420130716321836
65,0,65,0,0.7974210842077991,0.9912178716754144,0.9746720564494475,0.9894648286632213,0.9953922143585062,26.82954508091161,20.237601825694593,33.55990333251066,34.92865788106656,34.602977155113855
65,5,65,5,0.7921098681705723,0.9884722023357829,0.9741639056752257,0.988499486703816,0.9947155662145659,26.481208203083895,19.367188540431076,32.63892439890615,33.68960470192463,33.557647587464295
65,15,65,15,0.8083567375165819,0.9831789901578326,0.9772115220364349,0.9894846972795827,0.993015540218754,26.621063960013597,18.86779533245615,32.31471240733029,33.47596619424423,33.21561347109618
65,30,65,30,0.7935954739865668,0.95972798543364,0.9725197955650885,0.9894591140343211,0.9886004459265096,27.495718281932007,21.490390090089537,33.224203149858944,35.58187839603593,34.64589444133681
65,45,65,45,0.8105478976469525,0.9236738085665698,0.9799126469313028,0.9895473824525971,0.979945824260431,28.507295065349606,24.034833884459893,37.655645784401,39.09946892041896,37.66261260681825
65,60,65,60,0.8948096457744753,0.9181963380075099,0.9898562360820397,0.990980604384852,0.9801443866770859,31.95484316469035,25.818486422657408,41.71759826331189,41.91716222667694,40.116522171199556
65,75,65,75,0.9566171949594244,0.9353873669450218,0.9961054884954718,0.9923146083808242,0.9834856357754131,35.8559680546481,22.87389354888843,38.644578855160546,37.585121893877435,36.61652875496368
65,85,65,85,0.9747484949253981,0.9299070224006367,0.9974394477176594,0.9920539093439024,0.9808268577788691,38.16371405605911,23.467000404138993,39.39253104969471,38.50389131106466,36.885423090557744
65,90,65,90,0.9893901889208184,0.9324121467093269,0.9984752015217314,0.9932279232273517,0.9818324963418625,39.28450144430976,23.500431288835376,39.665077134350184,38.75788790013245,36.75763294123802
70,0,70,0,0.785517327785404,0.990328173985293,0.9729643485569496,0.9886140257071085,0.9950004199130953,26.63990706817573,20.531293063057404,33.72844325256836,35.19805537764432,34.84971634700087
70,5,70,5,0.7796538985382986,0.987144974248495,0.9724807150046687,0.9884969780188566,0.9943420797296844,26.08360695342922,19.312323611786194,32.41093187621256,33.74048539039965,33.52424625651095
70,15,70,15,0.7854352977181095,0.9795067792150316,0.9720148658126773,0.9860996034755602,0.9905389359361428,25.287063538233298,16.795422118192366,30.42645379248591,31.666253164154845,31.44141801781157
70,30,70,30,0.7823041028460141,0.9553083726684262,0.9712744903179821,0.9882097812893721,0.9868654656932384,26.46533448518829,21.229139262888225,32.485018580756716,35.09649744730211,34.28491139272338
